,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Race - Ethnicity,Sex,Level of Supervision,Recidivism - Prison Admission
0,1.0,3.0,3.1,0,1,5.0,1
1,1.0,1.0,1.1,0,1,7.0,0
2,1.0,1.0,1.1,0,0,2.0,0
3,1.0,3.0,3.3,0,0,4.0,0
4,2.0,1.0,1.1,1,1,7.0,1
5,2.0,3.0,3.1,1,1,0.0,0
6,5.0,2.0,2.4,1,1,7.0,1
7,1.0,3.0,3.1,1,1,7.0,1
8,1.0,2.0,2.1,1,1,7.0,1
9,2.0,2.0,2.2,1,1,7.0,1
10,5.0,2.0,2.3,1,1,7.0,1
11,2.0,2.0,2.3,1,1,7.0,1
12,5.0,1.0,1.2,1,1,7.0,1
13,2.0,4.0,4.3,1,0,6.0,1
14,1.0,2.0,2.3,1,0,6.0,1
15,5.0,1.0,1.2,1,1,5.0,1
16,10.0,4.0,4.2,1,1,5.0,1
17,1.0,1.0,1.4,1,1,4.0,1
18,2.0,4.0,4.1,1,1,4.0,1
19,5.0,1.0,1.3,1,1,3.0,1
20,1.0,2.0,2.3,1,1,3.0,1
21,2.0,2.0,2.2,1,1,1.0,1
22,2.0,4.0,4.1,1,1,1.0,1
23,2.0,3.0,3.3,1,1,7.0,1
24,2.0,4.0,4.1,1,1,7.0,1
25,5.0,1.0,1.2,1,0,7.0,1
26,2.0,1.0,1.3,1,1,7.0,1
27,2.0,2.0,2.5,1,1,7.0,1
28,2.0,4.0,4.1,1,1,7.0,1
29,5.0,2.0,2.3,1,1,6.0,1
30,5.0,2.0,2.1,1,1,6.0,1
31,2.0,1.0,1.3,1,1,3.0,1
32,5.0,1.0,1.1,1,1,3.0,1
33,5.0,1.0,1.2,1,1,3.0,1
34,2.0,2.0,2.1,1,0,1.0,1
35,10.0,4.0,4.3,1,1,1.0,1
36,5.0,1.0,1.3,1,0,7.0,0
37,2.0,3.0,3.1,1,0,7.0,0
38,5.0,3.0,3.2,1,1,7.0,0
39,2.0,4.0,4.1,1,1,7.0,0
40,1.0,3.0,3.1,1,1,7.0,0
41,5.0,2.0,2.3,1,1,7.0,0
42,5.0,1.0,1.1,1,1,7.0,0
43,2.0,3.0,3.1,1,0,7.0,0
44,2.0,1.0,1.2,1,1,7.0,0
45,1.0,4.0,4.1,1,0,7.0,0
46,1.0,4.0,4.1,1,1,7.0,0
47,2.0,4.0,4.1,1,1,7.0,0
48,2.0,4.0,4.1,1,1,7.0,0
49,1.0,2.0,2.3,1,1,7.0,0
50,1.0,3.0,3.1,1,1,7.0,0
51,1.0,4.0,4.1,1,0,7.0,0
